employee_id,first_name,last_name,position,department,salary
1,Lucía,Castillo,Asistente Administrativo,TI,3862.43
2,Daniela,Mendoza,Contador,Marketing,4409.58
3,Sara,Castillo,Asistente Administrativo,Marketing,1716.38
4,Carlos,Pérez,Analista Financiero,RRHH,2968.41
5,Javier,Fernández,Especialista en Marketing,Ventas,3412.12
6,Carlos,Cano,Analista Financiero,RRHH,4060.73
7,Lucía,Cano,Analista de Datos,RRHH,2576.9
8,Sara,Reyes,Contador,Marketing,3155.51
9,Roberto,Santos,Especialista en Marketing,Marketing,1352.39
10,Elena,López,Analista Financiero,Marketing,2887.87
11,Hugo,Herrera,Contador,Marketing,2079.12
12,Hugo,García,Supervisor de Ventas,Marketing,3984.69
13,Marina,Rivas,Técnico de RRHH,Marketing,4338.85
14,Roberto,Vargas,Desarrollador Frontend,Marketing,4317.48
15,Miguel,Cordero,Supervisor de Ventas,RRHH,1508.89
16,Andrea,Delgado,Desarrollador Frontend,Marketing,1580.53
17,Luis,Martínez,Asistente Administrativo,RRHH,4715.96
18,Elena,Herrera,Contador,RRHH,3847.53
19,Patricia,Santos,Técnico de RRHH,Operaciones,3635.99
20,Sara,Santos,Contador,Marketing,4443.97
21,Hugo,Silva,Especialista en Marketing,Marketing,2830.55
22,Patricia,Ramírez,Coordinador de Proyectos,TI,3707.66
23,Claudia,Vargas,Analista de Datos,RRHH,4658.86
24,Sofía,Rivas,Desarrollador Backend,RRHH,3350.82
25,Luis,Herrera,Analista de Datos,Marketing,4156.4
26,Lucía,Reyes,Contador,Marketing,3659.55
27,Andrea,Santos,Desarrollador Backend,Marketing,1526.13
28,Hugo,Herrera,Técnico de RRHH,RRHH,1569.3
29,Diego,Ruiz,Especialista en Marketing,RRHH,3716.03
30,Sofía,Moreno,Supervisor de Ventas,RRHH,4349.03
31,Luis,Ruiz,Coordinador de Proyectos,RRHH,2472.9
32,Patricia,Cano,Contador,RRHH,1483.96
33,Luis,Ruiz,Desarrollador Frontend,Marketing,4465.37
34,Carmen,López,Desarrollador Frontend,Marketing,4371.68
35,Carlos,Moreno,Desarrollador Frontend,Operaciones,2866.44
36,Miguel,Fernández,Técnico de RRHH,RRHH,3311.06
37,Miguel,Pérez,Coordinador de Proyectos,RRHH,2448.14
38,Patricia,Castillo,Desarrollador Frontend,Marketing,4172.0
39,Marina,Moreno,Supervisor de Ventas,RRHH,1998.25
40,Daniela,Martínez,Coordinador de Proyectos,Ventas,2930.27
41,Andrea,Moreno,Desarrollador Frontend,RRHH,3366.62
42,Patricia,Santos,Supervisor de Ventas,Ventas,3121.47
43,Carmen,Martínez,Técnico de RRHH,Ventas,3034.18
44,Alberto,Martínez,Analista Financiero,Marketing,3432.57
45,Alberto,Castillo,Contador,Marketing,4214.56
46,Claudia,Silva,Coordinador de Proyectos,Marketing,1862.51
47,Javier,Mendoza,Técnico de RRHH,RRHH,1517.86
48,Alberto,Vargas,Supervisor de Ventas,Ventas,2712.56
49,Javier,Fernández,Coordinador de Proyectos,Marketing,4197.65
50,Hugo,Ramírez,Analista Financiero,Marketing,1428.16
51,Patricia,Mendoza,Analista de Datos,Marketing,2074.71
52,Manuel,Cano,Especialista en Marketing,RRHH,2071.72
53,Raúl,Mendoza,Especialista en Marketing,Marketing,3576.47
54,Sofía,Cano,Técnico de RRHH,Finanzas,2310.83
55,Roberto,Cano,Desarrollador Frontend,RRHH,4771.81
56,Roberto,Cordero,Asistente Administrativo,TI,4001.4
57,Marina,Cordero,Asistente Administrativo,Marketing,3517.99
58,Roberto,Reyes,Asistente Administrativo,RRHH,3567.21
59,Hugo,Herrera,Desarrollador Frontend,Marketing,3072.08
60,Javier,Herrera,Desarrollador Backend,RRHH,2589.8
61,Sofía,Vargas,Supervisor de Ventas,RRHH,1302.2
62,Luis,Mendoza,Técnico de RRHH,Marketing,4604.48
63,Roberto,Pérez,Coordinador de Proyectos,RRHH,4037.46
64,Marina,Vargas,Coordinador de Proyectos,Marketing,1550.17
65,Elena,Rivas,Contador,Marketing,2039.13
66,Patricia,Ramírez,Técnico de RRHH,Marketing,2474.04
67,Sofía,Cano,Coordinador de Proyectos,RRHH,3022.81
68,Diego,Santos,Analista de Datos,Marketing,1828.26
69,Claudia,Castillo,Desarrollador Backend,RRHH,1922.91
70,Lucía,Pérez,Especialista en Marketing,Marketing,4130.91
71,Patricia,Ramírez,Analista de Datos,RRHH,3512.75
72,Javier,Vargas,Supervisor de Ventas,Marketing,4258.66
73,Luis,Torres,Desarrollador Backend,Marketing,4592.84
74,Manuel,Pérez,Asistente Administrativo,RRHH,1611.13
75,Andrea,Fernández,Especialista en Marketing,Marketing,4341.47
76,Raúl,Martínez,Especialista en Marketing,Marketing,4210.57
77,Carlos,Santos,Analista de Datos,RRHH,1492.33
78,Marina,Vargas,Asistente Administrativo,RRHH,3436.37
79,Elena,Herrera,Analista de Datos,Marketing,1937.03
80,Marina,Ruiz,Técnico de RRHH,RRHH,1380.52
81,Luis,Herrera,Supervisor de Ventas,Finanzas,1460.53
82,Andrea,Reyes,Asistente Administrativo,RRHH,4593.36
83,Andrea,Silva,Desarrollador Frontend,Marketing,1670.66
84,Diego,Herrera,Técnico de RRHH,Marketing,1797.44
85,Carmen,Silva,Desarrollador Backend,RRHH,4072.96
86,Javier,Silva,Supervisor de Ventas,Operaciones,2314.9
87,Javier,Torres,Analista Financiero,Finanzas,4047.0
88,Diego,Herrera,Analista Financiero,Marketing,2244.85
89,Marina,Moreno,Asistente Administrativo,Marketing,4216.06
90,Sofía,Ruiz,Asistente Administrativo,TI,4142.69
91,Diego,Martínez,Desarrollador Backend,Finanzas,1950.4
92,Hugo,Martínez,Analista de Datos,Marketing,2946.45
93,Daniela,Herrera,Contador,RRHH,3462.48
94,Diego,Silva,Supervisor de Ventas,Marketing,1844.57
95,Miguel,Vargas,Analista Financiero,Operaciones,1988.64
96,Manuel,Fernández,Supervisor de Ventas,RRHH,4208.33
97,Manuel,Mendoza,Desarrollador Frontend,TI,2748.58
98,Elena,Martínez,Analista Financiero,Marketing,2911.66
99,Claudia,Ramírez,Desarrollador Frontend,TI,3184.35
100,Daniela,Herrera,Supervisor de Ventas,Marketing,4330.67
